                                                  

     Z,SCF,CCSD
   1.679,   -127.8068414,   -128.6161141
   1.629,   -127.8073654,   -128.6191526
   1.579,   -127.8069947,   -128.6213809
   1.529,   -127.8055479,   -128.6225490
   1.479,   -127.8027980,   -128.6223442
   1.429,   -127.7984514,   -128.6203763
   1.379,   -127.7921190,   -128.6161665
   1.329,   -127.7832827,   -128.6091245
   1.279,   -127.7712610,   -128.5985195
   1.229,   -127.7551694,   -128.5834250
   1.179,   -127.7338696,   -128.5626781
                                                  
