
     Z,SCF,CCSD
   1.679,   -127.0313100,   -127.8130295
   1.629,   -127.0315900,   -127.8158284
   1.579,   -127.0309648,   -127.8177907
   1.529,   -127.0292528,   -127.8186619
   1.479,   -127.0262249,   -127.8181259
   1.429,   -127.0215835,   -127.8157925
   1.379,   -127.0149332,   -127.8111786
   1.329,   -127.0057498,   -127.8036949
   1.279,   -126.9933468,   -127.7926048
   1.229,   -126.9768357,   -127.7769819
   1.179,   -126.9550740,   -127.7556525
                                                  
