r,ae,UC,CRENBL,LANL2DZ,MWBSTU,MDFSTU,hard-stu-mod,soft-stu-mod,soft-d-inclu
1.4,0.08458813,0.08491561,0.08089778,0.06457927,0.08211435,0.09183746,0.09522334,0.09518033,0.08398526
1.5,-0.01949692,-0.0194742,-0.02188503,-0.03554579,-0.02101476,-0.01373369,-0.01276723,-0.01279786,-0.01982592
1.6,-0.08601723,-0.08615594,-0.08760657,-0.09882275,-0.08696306,-0.08157319,-0.08172943,-0.08174677,-0.08620441
1.7,-0.1257398,-0.12594933,-0.12680875,-0.13598958,-0.12628772,-0.1222868,-0.12291743,-0.12292279,-0.12579753
1.8,-0.1463166,-0.14655449,-0.14703398,-0.15457511,-0.1465765,-0.14357957,-0.14436255,-0.14435821,-0.1462527
1.9,-0.15359461,-0.15384469,-0.15406134,-0.16026518,-0.15365697,-0.15139541,-0.15217183,-0.15216027,-0.1534373
2.0,-0.15212759,-0.15238161,-0.1524155,-0.15745472,-0.15208208,-0.15038045,-0.15107372,-0.15105724,-0.15192963
2.1,-0.14553833,-0.14578044,-0.14567971,-0.14959909,-0.14545546,-0.14420493,-0.14477991,-0.14476043,-0.1453492
2.2,-0.13676389,-0.13698902,-0.1368011,-0.1395181,-0.13673489,-0.13586495,-0.13632011,-0.13629872,-0.13666307
2.3,-0.12785467,-0.12805332,-0.12787752,-0.12944516,-0.12798737,-0.12738938,-0.12776753,-0.1277428,-0.12794124
