r,ae,UC,CRENBL,LANL2DZ,MWBSTU,MDFSTU,hard-stu-mod,soft-stu-mod,soft-d-inclu
1.4,0.10076957,0.10049039,0.09723171,0.08097907,0.09834371,0.10829666,0.10723181,0.10718721,0.09913312
1.5,-0.00677541,-0.00694483,-0.00883175,-0.02241825,-0.00803784,-0.00060853,-0.00240327,-0.00243505,-0.00753396
1.6,-0.07563251,-0.07574168,-0.07681506,-0.08796556,-0.07624867,-0.07076472,-0.07261853,-0.07263693,-0.0759214
1.7,-0.1168487,-0.11696315,-0.1175385,-0.12666085,-0.11710146,-0.11304044,-0.11471857,-0.11472497,-0.11688338
1.8,-0.13840901,-0.1385581,-0.13881964,-0.14629915,-0.13844844,-0.1354161,-0.13684606,-0.13684277,-0.13829754
1.9,-0.14643233,-0.14661328,-0.14667008,-0.15278776,-0.14634248,-0.1440667,-0.14524053,-0.14523006,-0.14623398
2.0,-0.14567378,-0.14586508,-0.14578052,-0.15069104,-0.14551732,-0.1438235,-0.14475139,-0.14473607,-0.14543713
2.1,-0.13989429,-0.14007902,-0.13990318,-0.1436132,-0.13975234,-0.13853386,-0.13922928,-0.13921095,-0.13969232
2.2,-0.13215264,-0.13234006,-0.13210903,-0.13452498,-0.13213711,-0.13131981,-0.13180492,-0.13178446,-0.132092
2.3,-0.1244426,-0.12464729,-0.12445803,-0.12571432,-0.12466689,-0.12411797,-0.12448157,-0.12445681,-0.1246317
