                                                  

       SCF,CCSD
   -66.69354820,   -67.14028641
   -66.74346637,   -67.15158334
   -66.59755421,   -66.99758935
   -66.71533905,   -67.19046729
   -66.48107812,   -66.85854614
   -66.46678514,   -66.83962106
   -66.38832304,   -66.80580248
   -65.92814186,   -66.27131560
   -65.01443526,   -65.32730438
   -63.65417977,   -63.94121002
   -61.81214438,   -62.07607573
   -61.10879478,   -61.37277194
   -60.63148805,   -60.90394771
   -59.49648597,   -59.73365972
   -43.93566676,   -44.04986423
   -21.59240369,   -21.64116078
                                                  
