                                                  

       SCF,CCSD
   -67.02809986,   -67.48416773
   -67.07428401,   -67.49214954
   -66.92901990,   -67.34136253
   -67.04638347,   -67.53199426
   -66.81506416,   -67.20144241
   -66.79687366,   -67.17898968
   -66.72647824,   -67.15210629
   -66.26120053,   -66.61280191
   -65.34979441,   -65.67024482
   -63.99025115,   -64.28405800
   -62.14593074,   -62.41589418
   -61.45069391,   -61.72094961
   -60.96206594,   -61.24060888
   -59.82314315,   -60.06557533
   -44.18161777,   -44.29917674
   -21.68964640,   -21.73933442
                                                  
